Rank,Name,NetWorth,Age,Gender,Country,Industry,Source
1,Bernard Arnault & family,211.4,75,M,France,Fashion & Retail,Inherited & Growing
2,Elon Musk,180.6,52,M,United States,Automotive,Self-Made
3,Jeff Bezos,173.2,60,M,United States,Technology,Self-Made
4,Mark Zuckerberg,167.3,39,M,United States,Technology,Self-Made
5,Larry Ellison,153.4,79,M,United States,Technology,Self-Made
6,Warren Buffett,132.1,93,M,United States,Finance & Investments,Self-Made
7,Bill Gates,128.5,68,M,United States,Technology,Self-Made
8,Steve Ballmer,121.6,68,M,United States,Technology,Self-Made
9,Mukesh Ambani,115.4,66,M,India,Diversified,Inherited & Growing
10,Larry Page,114.8,51,M,United States,Technology,Self-Made
11,Francoise Bettencourt Meyers,97.9,70,F,France,Fashion & Retail,Inherited
12,Zhong Shanshan,91.9,69,M,China,Food & Beverage,Self-Made
13,MacKenzie Scott,85.4,53,F,United States,Technology,Divorce
14,Alice Walton,83.1,74,F,United States,Fashion & Retail,Inherited
15,Michael Bloomberg,76.8,82,M,United States,Media & Entertainment,Self-Made
16,Zhang Yiming,71.3,40,M,China,Technology,Self-Made
17,Giovanni Ferrero,68.9,60,M,Italy,Food & Beverage,Inherited
18,Jacqueline Mars,61.3,84,F,United States,Food & Beverage,Inherited
19,Phil Knight,59.2,86,M,United States,Fashion & Retail,Self-Made
20,Jack Ma,57.8,59,M,China,Technology,Self-Made
